commit_hash,file_path,change_type,insertions,deletions,lines,nloc,complexity,token_count
d85c3e859b48263ed0a49a719264dc39da275a49,deps\acorn\acorn\CHANGELOG.md,MODIFY,10,0,10,,,
d85c3e859b48263ed0a49a719264dc39da275a49,deps\acorn\acorn\dist\acorn.js,MODIFY,9,8,17,4566.0,1971.0,40348.0
d85c3e859b48263ed0a49a719264dc39da275a49,deps\acorn\acorn\dist\acorn.mjs,MODIFY,9,8,17,,,
d85c3e859b48263ed0a49a719264dc39da275a49,deps\acorn\acorn\package.json,MODIFY,1,1,2,,,
d85c3e859b48263ed0a49a719264dc39da275a49,src\acorn_version.h,MODIFY,1,1,2,0.0,0.0,0.0
072af88dc84824cd5e4de4c64a03af7cff7575de,deps\corepack\CHANGELOG.md,MODIFY,15,0,15,,,
072af88dc84824cd5e4de4c64a03af7cff7575de,deps\corepack\README.md,MODIFY,4,4,8,,,
072af88dc84824cd5e4de4c64a03af7cff7575de,deps\corepack\dist\lib\corepack.cjs,MODIFY,96,78,174,,,
072af88dc84824cd5e4de4c64a03af7cff7575de,deps\corepack\package.json,MODIFY,3,3,6,,,
477d6d7cd599664c15de647e7b29f721f8c84ff7,tools\lint-md\package-lock.json,MODIFY,59,59,118,,,
477d6d7cd599664c15de647e7b29f721f8c84ff7,tools\lint-md\package.json,MODIFY,1,1,2,,,
508490f79d5d662a432553e5b6c2df8dc9343235,README.md,MODIFY,2,2,4,,,
088f4ccf623af8ed58a09ed01485f96d84c7f51e,src\permission\fs_permission.h,MODIFY,10,8,18,113.0,25.0,740.0
a7eb4162e4fb0e04544b16564eb5323682547674,.github\workflows\close-stale-feature-requests.yml,MODIFY,1,1,2,,,
a7eb4162e4fb0e04544b16564eb5323682547674,.github\workflows\close-stalled.yml,MODIFY,1,1,2,,,
ae46bd3be3260884ba39a3cd391b95368ba79efb,.github\workflows\scorecard.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\auto-start-ci.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\commit-lint.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\commit-queue.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\daily-wpt-fyi.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\daily.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\doc.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\find-inactive-collaborators.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\find-inactive-tsc.yml,MODIFY,1,1,2,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\linters.yml,MODIFY,3,3,6,,,
8e27f21f9f81919858637668fff4d302b56e08eb,.github\workflows\update-v8.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\build-tarball.yml,MODIFY,2,2,4,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\build-windows.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\coverage-linux-without-intl.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\coverage-linux.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\coverage-windows.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\daily-wpt-fyi.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\linters.yml,MODIFY,4,4,8,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\test-asan.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\test-internet.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\test-linux.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\test-macos.yml,MODIFY,1,1,2,,,
084d761dfc1aa9ca0549e7c4d769e30b34347f69,.github\workflows\tools.yml,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\.gitignore,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\.gn,MODIFY,0,4,4,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\AUTHORS,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\BUILD.bazel,MODIFY,27,0,27,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\BUILD.gn,MODIFY,57,15,72,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\DEPS,MODIFY,44,18,62,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\base\trace_event\common\trace_event_common.h,MODIFY,1,1,2,33.0,0.0,134.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\js_protocol.pdl,MODIFY,5,19,24,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-container.h,MODIFY,36,0,36,76.0,6.0,488.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-exception.h,MODIFY,15,8,23,77.0,1.0,529.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-inspector.h,MODIFY,0,17,17,307.0,42.0,2288.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-internal.h,MODIFY,53,31,84,490.0,63.0,3449.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-isolate.h,MODIFY,32,32,64,550.0,20.0,2996.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-memory-span.h,MODIFY,152,2,154,121.0,24.0,1011.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-metrics.h,MODIFY,1,0,1,171.0,10.0,863.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-object.h,MODIFY,1,1,2,294.0,17.0,2335.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-persistent-handle.h,MODIFY,1,1,2,335.0,57.0,2619.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-profiler.h,MODIFY,0,10,10,418.0,17.0,2296.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-script.h,MODIFY,6,0,6,333.0,15.0,2060.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-typed-array.h,MODIFY,97,7,104,212.0,24.0,1416.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-value.h,MODIFY,44,1,45,198.0,30.0,1388.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\include\v8-version.h,MODIFY,3,3,6,0.0,0.0,0.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\infra\mb\mb_config.pyl,MODIFY,2,1,3,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\infra\testing\builders.pyl,MODIFY,3,10,13,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\api\api-arguments-inl.h,MODIFY,1,1,2,250.0,39.0,2069.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\api\api-arguments.cc,MODIFY,4,2,6,46.0,3.0,430.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\api\api-inl.h,MODIFY,4,4,8,236.0,60.0,1867.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\api\api-natives.cc,MODIFY,25,24,49,655.0,116.0,4956.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\api\api.cc,MODIFY,267,59,326,9683.0,1823.0,82088.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\api\api.h,MODIFY,2,2,4,295.0,46.0,2005.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\asmjs\asm-js.cc,MODIFY,2,1,3,318.0,50.0,2320.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\ast\scopes.cc,MODIFY,4,4,8,2311.0,671.0,15916.0
