commit_hash,file_path,change_type,insertions,deletions,lines,nloc,complexity,token_count
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\cpu.cc,MODIFY,23,9,32,566.0,146.0,3466.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\cpu.h,MODIFY,2,0,2,149.0,51.0,830.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\iterator.h,MODIFY,66,2,68,122.0,29.0,937.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\macros.h,MODIFY,4,4,8,101.0,16.0,867.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\platform\memory-protection-key.h,MODIFY,3,0,3,25.0,0.0,113.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\platform\platform-posix.cc,MODIFY,22,3,25,773.0,252.0,5412.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\platform\platform-win32.cc,MODIFY,13,0,13,1135.0,272.0,8088.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\platform\platform.h,MODIFY,3,0,3,340.0,43.0,2283.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\base\small-vector.h,MODIFY,12,3,15,218.0,64.0,1643.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\arm\baseline-assembler-arm-inl.h,MODIFY,5,6,11,465.0,83.0,3312.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\arm64\baseline-assembler-arm64-inl.h,MODIFY,5,6,11,554.0,102.0,3933.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\arm64\baseline-compiler-arm64-inl.h,MODIFY,8,15,23,87.0,11.0,551.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\baseline-assembler-inl.h,MODIFY,7,0,7,127.0,34.0,786.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\baseline-assembler.h,MODIFY,4,0,4,173.0,2.0,1431.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\baseline-compiler.cc,MODIFY,3,3,6,1894.0,367.0,12793.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\bytecode-offset-iterator.h,MODIFY,1,1,2,69.0,11.0,326.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\ia32\baseline-assembler-ia32-inl.h,MODIFY,5,6,11,467.0,89.0,3375.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\loong64\baseline-assembler-loong64-inl.h,MODIFY,5,6,11,476.0,87.0,3417.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\mips64\baseline-assembler-mips64-inl.h,MODIFY,5,6,11,473.0,84.0,3416.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\ppc\baseline-assembler-ppc-inl.h,MODIFY,5,6,11,555.0,95.0,3865.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\riscv\baseline-assembler-riscv-inl.h,MODIFY,5,6,11,506.0,89.0,3672.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\s390\baseline-assembler-s390-inl.h,MODIFY,5,6,11,562.0,99.0,3928.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\baseline\x64\baseline-assembler-x64-inl.h,MODIFY,8,10,18,504.0,100.0,3529.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\arm\builtins-arm.cc,MODIFY,42,46,88,2473.0,154.0,18478.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\arm64\builtins-arm64.cc,MODIFY,49,75,124,3385.0,217.0,23658.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\array-from-async.tq,ADD,646,0,646,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\base.tq,MODIFY,3,2,5,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-array-gen.cc,MODIFY,1,1,2,1603.0,96.0,12522.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-array-gen.h,MODIFY,36,0,36,134.0,10.0,853.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-array.cc,MODIFY,0,7,7,1196.0,291.0,8638.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-arraybuffer.cc,MODIFY,3,8,11,448.0,81.0,3000.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-async-gen.cc,MODIFY,2,2,4,162.0,6.0,1075.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-collections-gen.cc,MODIFY,27,33,60,2259.0,160.0,17926.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-collections-gen.h,MODIFY,8,5,13,318.0,8.0,2677.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-constructor-gen.cc,MODIFY,2,1,3,582.0,32.0,4316.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-date.cc,MODIFY,2,2,4,793.0,106.0,6965.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-definitions.h,MODIFY,3,5,8,6.0,0.0,12.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-ic-gen.cc,MODIFY,0,10,10,270.0,56.0,1464.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-internal-gen.cc,MODIFY,18,8,26,1243.0,131.0,9483.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-iterator-gen.cc,MODIFY,52,13,65,350.0,27.0,2737.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-iterator-gen.h,MODIFY,12,0,12,61.0,3.0,537.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-lazy-gen.cc,MODIFY,5,3,8,114.0,6.0,786.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-microtask-queue-gen.cc,MODIFY,1,1,2,496.0,28.0,3539.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-sharedarraybuffer.cc,MODIFY,8,4,12,199.0,39.0,1416.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-string.cc,MODIFY,10,9,19,354.0,76.0,2740.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-typed-array-gen.cc,MODIFY,2,2,4,473.0,60.0,3393.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins-utils.h,MODIFY,6,6,12,60.0,6.0,419.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins.cc,MODIFY,6,1,7,349.0,88.0,2459.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\builtins.h,MODIFY,16,17,33,238.0,41.0,1496.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\convert.tq,MODIFY,0,6,6,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\data-view.tq,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\ia32\builtins-ia32.cc,MODIFY,59,58,117,2935.0,177.0,22119.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\iterator.tq,MODIFY,18,0,18,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\loong64\builtins-loong64.cc,MODIFY,36,48,84,2316.0,148.0,17585.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\mips64\builtins-mips64.cc,MODIFY,35,45,80,2327.0,145.0,18017.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\ppc\builtins-ppc.cc,MODIFY,37,45,82,2477.0,159.0,17868.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\regexp-replace.tq,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\regexp-test.tq,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\riscv\builtins-riscv.cc,MODIFY,35,44,79,2453.0,148.0,18292.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\s390\builtins-s390.cc,MODIFY,36,41,77,2400.0,154.0,17730.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\setup-builtins-internal.cc,MODIFY,7,3,10,242.0,14.0,1764.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\typed-array-createtypedarray.tq,MODIFY,3,5,8,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\typed-array-subarray.tq,MODIFY,1,1,2,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\typed-array.tq,MODIFY,2,5,7,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\wasm-to-js.tq,MODIFY,7,5,12,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\wasm.tq,MODIFY,30,0,30,,,
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\builtins\x64\builtins-x64.cc,MODIFY,41,36,77,3034.0,225.0,21275.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm\assembler-arm-inl.h,MODIFY,5,16,21,236.0,70.0,1970.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm\macro-assembler-arm.cc,MODIFY,36,8,44,2503.0,267.0,17840.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm\macro-assembler-arm.h,MODIFY,6,1,7,650.0,85.0,5252.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm\register-arm.h,MODIFY,1,0,1,174.0,24.0,1114.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm64\assembler-arm64-inl.h,MODIFY,5,19,24,880.0,270.0,6434.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm64\macro-assembler-arm64.cc,MODIFY,181,105,286,3288.0,576.0,24104.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm64\macro-assembler-arm64.h,MODIFY,28,18,46,1232.0,149.0,10566.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\arm64\register-arm64.h,MODIFY,1,3,4,375.0,115.0,2861.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\assembler.h,MODIFY,43,0,43,316.0,66.0,1707.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\bailout-reason.h,MODIFY,3,1,4,14.0,0.0,61.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\code-stub-assembler.cc,MODIFY,52,36,88,13775.0,1481.0,101428.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\code-stub-assembler.h,MODIFY,32,22,54,3046.0,291.0,26867.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\compilation-cache.h,MODIFY,2,2,4,113.0,11.0,701.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\compiler.cc,MODIFY,36,39,75,3151.0,559.0,22134.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\external-reference.cc,MODIFY,114,100,214,1278.0,205.0,8015.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\external-reference.h,MODIFY,39,7,46,73.0,4.0,411.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ia32\assembler-ia32-inl.h,MODIFY,5,18,23,187.0,57.0,1402.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ia32\assembler-ia32.cc,MODIFY,7,2,9,2846.0,580.0,19139.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ia32\macro-assembler-ia32.cc,MODIFY,29,1,30,1840.0,208.0,12239.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ia32\macro-assembler-ia32.h,MODIFY,5,0,5,417.0,64.0,3158.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\interface-descriptors-inl.h,MODIFY,30,0,30,482.0,112.0,2938.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\interface-descriptors.cc,MODIFY,5,0,5,130.0,26.0,824.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\interface-descriptors.h,MODIFY,27,0,27,1641.0,70.0,8713.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\loong64\assembler-loong64-inl.h,MODIFY,5,19,24,184.0,51.0,1182.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\loong64\assembler-loong64.h,MODIFY,3,4,7,793.0,97.0,6871.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\loong64\macro-assembler-loong64.cc,MODIFY,35,7,42,3875.0,560.0,28432.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\loong64\macro-assembler-loong64.h,MODIFY,11,2,13,719.0,75.0,5945.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\mips64\assembler-mips64-inl.h,MODIFY,5,18,23,166.0,48.0,1086.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\mips64\assembler-mips64.h,MODIFY,3,4,7,1507.0,135.0,14969.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\mips64\macro-assembler-mips64.cc,MODIFY,30,7,37,5390.0,831.0,38316.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\mips64\macro-assembler-mips64.h,MODIFY,7,2,9,793.0,86.0,6659.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ppc\assembler-ppc-inl.h,MODIFY,9,28,37,334.0,83.0,2235.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ppc\macro-assembler-ppc.cc,MODIFY,39,14,53,3979.0,390.0,27850.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\ppc\macro-assembler-ppc.h,MODIFY,14,7,21,1110.0,118.0,9018.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\reloc-info-inl.h,MODIFY,4,4,8,16.0,2.0,66.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\reloc-info.cc,MODIFY,65,39,104,421.0,129.0,2743.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\reloc-info.h,MODIFY,100,73,173,337.0,65.0,2171.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\riscv\assembler-riscv-inl.h,MODIFY,6,17,23,176.0,49.0,1180.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\riscv\assembler-riscv.h,MODIFY,4,4,8,529.0,92.0,3283.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\riscv\macro-assembler-riscv.cc,MODIFY,32,5,37,5422.0,1063.0,41471.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\riscv\macro-assembler-riscv.h,MODIFY,7,2,9,982.0,118.0,8289.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\s390\assembler-s390-inl.h,MODIFY,9,28,37,234.0,62.0,1613.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\s390\macro-assembler-s390.cc,MODIFY,34,8,42,4605.0,570.0,33687.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\s390\macro-assembler-s390.h,MODIFY,7,2,9,1107.0,101.0,9706.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\shared-ia32-x64\macro-assembler-shared-ia32-x64.h,MODIFY,1,0,1,750.0,75.0,5293.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\tnode.h,MODIFY,59,50,109,332.0,16.0,2375.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\x64\assembler-x64-inl.h,MODIFY,5,22,27,284.0,98.0,2392.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\x64\assembler-x64.cc,MODIFY,9,0,9,3794.0,699.0,25987.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\x64\assembler-x64.h,MODIFY,2,0,2,1700.0,294.0,15131.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\x64\macro-assembler-x64.cc,MODIFY,159,46,205,3214.0,361.0,21539.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\x64\macro-assembler-x64.h,MODIFY,30,18,48,603.0,56.0,4808.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\codegen\x64\register-x64.h,MODIFY,1,0,1,125.0,14.0,726.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\common\code-memory-access-inl.h,MODIFY,56,23,79,145.0,37.0,977.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\common\code-memory-access.cc,MODIFY,66,22,88,445.0,92.0,3095.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\common\code-memory-access.h,MODIFY,138,64,202,284.0,22.0,1772.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\common\globals.h,MODIFY,36,32,68,1302.0,200.0,6747.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\common\message-template.h,MODIFY,3,0,3,14.0,1.0,60.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\compiler\access-builder.cc,MODIFY,17,2,19,1171.0,149.0,6834.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\compiler\access-builder.h,MODIFY,4,0,4,143.0,3.0,821.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\compiler\access-info.cc,MODIFY,8,12,20,900.0,218.0,6608.0
d8c97e48573ef9679751be0c7a308e08d0101c47,deps\v8\src\compiler\backend\arm\code-generator-arm.cc,MODIFY,5,2,7,3836.0,628.0,24690.0
